region,name,name_mm,fee_mmk
Bago Region,Pyay (Nyaungchayhtauk),ပြည်(ညောင်ခြေထောက်),0
Chin State,Hakha,ဟားခါး,0
Kachin State,Bhamo,ဗန်းမော်,0
Kachin State,Hpakant,ဖားကန့်,0
Kachin State,Mogaung,မိုးကောင်း,0
Kachin State,Mohnyin,မိုးညှင်း,0
Kachin State,Momauk,မိုးမောက်,0
Kachin State,Nammatee,နမ္မတီး,0
Kachin State,Tanai,တနိုင်း,0
Kachin State,Waingmaw,ဝိုင်းမော်,0
Kayin State,Kawkareik,ကော့ကရိတ်,0
Magway Region,Mindon,မင်းတုန်း,0
Magway Region,Sinphyukyun,ဆင်ဖြူကျွန်း,0
Mandalay Region,Taungtha,တောင်သာ,0
Rakhine State,Ann,အမ်း,0
Rakhine State,Kyaukpyu,ကျောက်ဖြူ,0
Rakhine State,Kyauktaw,ကျောက်တော်,0
Rakhine State,Minbya,မင်းပြား,0
Rakhine State,Mrauk-U,မြောက်ဦး,0
Rakhine State,Ramree,ရမ်းဗြဲ,0
Rakhine State,Sittwe,စစ်တွေ,0
Rakhine State,Thandwe,သံတွဲ,0
Rakhine State,Toungup,တောင်ကုတ်,0
Sagaing Region,Htigyaing,ထီးချိုင့်,0
Sagaing Region,Katha,ကသာ,0
Sagaing Region,Kawlin,ကောလင်,0
Sagaing Region,Seikkhun,ဆိပ်ခွန်,0
Sagaing Region,Tamu,တမူး,0
Shan State,Hsipaw,သီပေါ,0
Shan State,Kyaukme,ကျောက်မဲ,0
Shan State,Muse,မူဆယ်,0
Shan State,Muse (105 Mile),မူဆယ်(၁၀၅)မိုင်,0
