region,name,name_mm,fee_mmk
Ayeyarwady,Ahpyauk,အဖျောက်,0
Ayeyarwady,Ahtaung,အထောင်,0
Ayeyarwady,Atthoke,အသုတ်,0
Ayeyarwady,Bogale,ဘိုကလေး,0
Ayeyarwady,Chaung Thar,ချောင်းသာ,0
Ayeyarwady,Danubyu,ဓနုဖြူ,0
Ayeyarwady,Dedaye,ဒေးဒရဲ,0
Ayeyarwady,Einme,အိမ်မဲ,0
Ayeyarwady,Hinthada,ဟင်္သာတ,0
Ayeyarwady,Ingapu,အင်္ဂပူ,0
Ayeyarwady,Kangyidaunt,ကန်ကြီးတောင့်,0
Ayeyarwady,Kyaiklat,ကျိုက်လတ်,0
Ayeyarwady,Kyangin,ကြံခင်း,0
Ayeyarwady,Kyaunggon,ကျောင်းကုန်း,0
Ayeyarwady,Kyonemangay,ကျုံမငေး,0
Ayeyarwady,Kyonpyaw,ကျုံပျော်,0
Ayeyarwady,Labutta,လပွတ္တာ,0
Ayeyarwady,Lemyethna,လေးမျက်နှာ,0
Ayeyarwady,Maubin,မအူပင်,0
Ayeyarwady,Mawlamyinegyun,မော်လမြိုင်ကျွန်း,0
Ayeyarwady,Myanaung,မြန်အောင်,0
Ayeyarwady,Myaungmya,မြောင်းမြ,0
Ayeyarwady,Ngapudaw,ငပုတော,0
Ayeyarwady,Ngathaingchaung,ငသိုင်းချောင်း,0
Ayeyarwady,Ngwesaung,ငွေဆောင်,0
Ayeyarwady,Nyaungtone,ညောင်တုန်း,0
Ayeyarwady,Pantanaw,ပန်းတနော်,0
Ayeyarwady,Pathein,ပုသိမ်,0
Ayeyarwady,Pyapon,ဖျာပုံ,0
Ayeyarwady,Shwelaung,ရွှေလောင်း,0
Ayeyarwady,Thabaung,သာပေါင်း,0
Ayeyarwady,Wakema,ဝါးခယ်မ,0
Ayeyarwady,Yegyi,ရေကြည်,0
Ayeyarwady,Zalun,ဇလွန်,0
Bago,Bago,ပဲခူး,0
Bago,Daik-U,ဒိုက်ဦး,0
Bago,Gyobingauk,ကြို့ပင်ကောက်,0
Bago,HpaYarGyi,ဘုရားကြီး,0
Bago,Innma,အင်းမ,0
Bago,Inntakaw,အင်းတကော်,0
Bago,Kanyutkwin,ကညွတ်ကွင်း,0
Bago,Kawa,ကဝ,0
Bago,Kaytumaddy,ကေတုမတီ,0
Bago,Kyauktaga,ကျောက်တံခါး,0
Bago,Letpadan,လက်ပံတန်း,0
Bago,Monyo,မိုးညို,0
Bago,Myohla,မြို့လှ,0
Bago,Nattalin,နတ်တလင်း,0
Bago,Nyaunglebin,ညောင်လေးပင်,0
Bago,Oaethaekone,အိုးသည်ကုန်း,0
Bago,OkeShitPin,ဥသျှစ်ပင်,0
Bago,Okpho,အုတ်ဖို,0
Bago,Oktwin,အုတ်တွင်း,0
Bago,Padaung,ပန်းတောင်း,0
Bago,Paukkhaung,ပေါက်ခေါင်း,0
Bago,Paungde,ပေါင်းတည်,0
Bago,Paungtale,ပေါင်းတလည်,0
Bago,Penwegon,ပဲနွယ်ကုန်း,0
Bago,Phyu,ဖြူး,0
Bago,Pyay,ပြည်,0
Bago,Pyuntasa,ပြွန်တန်ဆာ,0
Bago,ShweDaung,ရွှေတောင်,0
Bago,Shwegyin,ရွှေကျင်,0
Bago,Sitkwin,စစ်ကွင်း,0
Bago,Swar,ဆွာ,0
Bago,Taungoo,တောင်ငူ,0
Bago,Thanatpin,သနပ်ပင်,0
Bago,Tharkaya,သာဂရ,0
Bago,Tharyarwaddy (Thonese),သာယာဝတီ(သုံးဆယ်),0
Bago,Thegon,သဲကုန်း,0
Bago,Waw,ဝေါ,0
Bago,Yae Ni,ရေနီ,0
Bago,Zeyawaddy,ဇေယျဝတီ,0
Bago,Zigon,ဇီးကုန်း,0
Kachin,Myitkyina,မြစ်ကြီးနား,0
Kayah,Loikaw,လွိုင်ကော်,0
Kayin,Hlaingbwe,လှိုင်းဘွဲ့,0
Kayin,Hpa-An,ဘားအံ,0
Kayin,Myaingkalay,မြိုင်ကလေး,0
Kayin,Myawaddy,မြဝတီ,0
Magway,Aunglan,အောင်လံ,0
Magway,Chauk,ချောက်,0
Magway,Kamma,ကံမ,0
Magway,Magway,မကွေး,0
Magway,Minbu,မင်းဘူး,0
Magway,Minhla (Upper),အထက်မင်းလှ,0
Magway,Myothit,မြို့သစ်,0
Magway,Natmauk,နတ်မောက်,0
Magway,Ngape,ငဖဲ,0
Magway,Pakokku,ပခုက္ကူ,0
Magway,Pwintbyu,ပွင့်ဖြူ,0
Magway,Saku,စကု,0
Magway,Salay,စလေ,0
Magway,Salin,စလင်း,0
Magway,Satthwar,ဆတ်သွား,0
Magway,Seikphyu,ဆိပ်ဖြူ,0
Magway,Sinbaungwe,ဆင်ပေါင်ဝဲ,0
Magway,Taungdwingyi,တောင်တွင်းကြီး,0
Magway,Thayet,သရက်,0
Magway,Thityargyauk,သစ်ရာကောက်,0
Magway,Yenangyaung,ရေနံချောင်း,0
Magway,Yesagyo,ရေစကြို,0
